net,length_um
net90,391.82µm
net143,350.53µm
net96,336.83µm
clknet_2_1__leaf_clk,312.98µm
clknet_2_2__leaf_clk,285.2µm
net127,268.29µm
net253,267.19µm
systolic_unit_0.drain_valid,265.85µm
clknet_0_clk,263.94µm
net242,247.96µm
_1356_,239.15µm
net236,236.72µm
clknet_2_0__leaf_clk,236.48µm
clknet_2_3__leaf_clk,235.51µm
net76,235.21µm
net269,233.91µm
net83,228.58µm
net136,221.68µm
net82,219.66µm
net74,216.81µm
net141,211.64µm
net84,210.54µm
net81,208.18µm
systolic_unit_0.U_01.out_b\[4\],207.57µm
net129,202.8µm
net75,197.235µm
net125,195.8µm
net267,193.6µm
net79,192.3µm
net231,191.64µm
net151,191.26µm
net241,190.54µm
net247,188.87µm
net93,185.515µm
net77,184.4µm
net99,180.06µm
net206,177.42µm
net259,177.1µm
systolic_unit_0.U_01.out_b\[6\],170.9µm
net182,170.82µm
_1847_,170.24µm
net104,168.88µm
net213,168.17µm
net92,167.78µm
net233,167.25µm
net88,165.32µm
net122,165.235µm
net108,163.86µm
net268,159.9µm
net171,158.98µm
net272,158.32µm
systolic_unit_0.U_00.out_a\[6\],157.995µm
net275,157.855µm
systolic_unit_0.U_01.out_b\[7\],157.53µm
net155,154.685µm
net177,153.78µm
clk,153.43µm
net240,152.76µm
net114,152.2µm
net252,151.92µm
_1830_,151.07µm
net207,151.005µm
net133,150.7µm
_0000_,149.1µm
systolic_unit_0.U_01.out_b\[5\],147.825µm
net195,146.16µm
net95,145.93µm
net277,145.68µm
net94,145.42µm
net273,145.38µm
net181,143.81µm
net220,143.34µm
net186,141.26µm
net97,140.005µm
net271,139.7µm
net160,138.94µm
net189,137.62µm
net279,137.41µm
systolic_unit_0.U_01.drain_1,135.76µm
systolic_unit_0.U_00.out_b\[4\],135.4µm
net169,135.115µm
net18,134.76µm
net152,133.3µm
net168,132.81µm
net185,132.2µm
net254,132.06µm
_1784_,131.54µm
net258,131.12µm
net154,131.08µm
net193,130.12µm
net214,129.39µm
net164,129.34µm
net260,128.545µm
_1405_,128.32µm
net175,127.78µm
net128,126.98µm
net264,126.155µm
net262,125.89µm
net162,125.435µm
_1403_,125.185µm
net278,124.36µm
net256,124.14µm
net163,123.96µm
net274,123.4µm
_1868_,122.38µm
net119,121.86µm
net230,121.44µm
net180,120.49µm
net196,120.245µm
net235,120.2µm
net102,119.34µm
net135,119µm
net248,118.54µm
net98,118.25µm
net211,117.78µm
net159,117.17µm
net216,115.925µm
systolic_unit_0.U_00.out_b\[2\],115.67µm
clknet_leaf_16_clk,115.115µm
systolic_unit_0.U_10.in_a\[5\],114.86µm
net218,114.26µm
net224,113.56µm
net205,112.82µm
net198,112.6µm
_1827_,112.24µm
net120,111.66µm
net115,111.59µm
net202,111.54µm
net200,111.31µm
_1896_,111.06µm
net263,111.02µm
net178,110.74µm
net109,110.53µm
net138,110.45µm
_1897_,109.74µm
clknet_leaf_3_clk,109.64µm
net246,109.46µm
net239,108.56µm
clknet_leaf_1_clk,108.24µm
net45,107.82µm
clknet_leaf_32_clk,107.78µm
net146,106.95µm
net219,106.745µm
net199,106.4µm
clknet_leaf_25_clk,106.18µm
net149,106.08µm
net147,105.98µm
systolic_unit_0.U_00.out_b\[6\],105.35µm
net251,105.14µm
net117,104.77µm
net101,104.56µm
net134,104.06µm
net52,102.8µm
systolic_unit_0.U_00.acc_1\[8\],102.725µm
systolic_unit_0.U_00.out_a\[3\],102.68µm
net100,102.44µm
systolic_unit_0.U_10.out_a\[6\],102.15µm
net48,102.04µm
net234,101.62µm
clknet_leaf_11_clk,101.48µm
net225,101.395µm
systolic_unit_0.U_00.acc_1\[2\],101.12µm
net232,100.74µm
net228,100.62µm
systolic_unit_0.U_10.out_a\[7\],100.3µm
systolic_unit_0.U_00.acc_1\[7\],99.74µm
_1380_,99.73µm
net221,99.685µm
net105,99.12µm
net89,98.8µm
systolic_unit_0.U_00.out_b\[7\],98.74µm
net191,98.72µm
net266,98.6µm
systolic_unit_0.U_00.out_b\[5\],98.595µm
clknet_leaf_24_clk,98.4µm
net226,98.18µm
net121,97.415µm
net103,97.38µm
net3,97.14µm
net270,97.1µm
systolic_unit_0.U_00.out_a\[0\],96.525µm
net276,96.32µm
net204,95.98µm
net78,95.95µm
net167,95.715µm
systolic_unit_0.U_00.acc_0\[7\],94.44µm
net137,94.05µm
net161,93.66µm
net166,93.61µm
net150,93.5µm
clknet_leaf_26_clk,93.2µm
net85,93µm
net124,92.98µm
_0564_,92.72µm
systolic_unit_0.U_00.out_a\[4\],92.64µm
net132,92.62µm
net148,92.22µm
_1179_,92.1µm
net227,91.86µm
clknet_leaf_5_clk,91.84µm
systolic_unit_0.U_01.out_b\[1\],91.5µm
net126,90.21µm
systolic_unit_0.U_00.out_a\[7\],89.92µm
net237,89.58µm
systolic_unit_0.U_10.out_a\[1\],89.08µm
systolic_unit_0.U_01.drain_0,88.59µm
net183,88.545µm
systolic_unit_0.U_00.out_a\[2\],88.54µm
net130,88.5µm
net243,88.02µm
net111,87.9µm
net173,87.38µm
systolic_unit_0.U_01.acc_0\[6\],86.76µm
net210,86.74µm
net116,86.3µm
systolic_unit_0.U_01.acc_0\[10\],86.02µm
systolic_unit_0.U_00.acc_1\[5\],85.92µm
net139,85.88µm
systolic_unit_0.U_01.acc_0\[4\],85.56µm
net261,85.26µm
clknet_leaf_17_clk,84.96µm
clknet_leaf_19_clk,84.82µm
net4,84.72µm
net158,84.68µm
clknet_leaf_12_clk,84.04µm
net208,84µm
_1539_,83.63µm
_1376_,83.48µm
net187,83.43µm
systolic_unit_0.U_01.out_b\[3\],83.36µm
net20,82.58µm
_1504_,82.41µm
drain_even,81.86µm
net212,81.86µm
systolic_unit_0.U_00.acc_0\[5\],81.02µm
net91,80.92µm
net140,80.8µm
systolic_unit_0.U_10.out_a\[2\],80.78µm
clknet_leaf_15_clk,80.46µm
net222,80.355µm
net176,80.34µm
net245,80.28µm
systolic_unit_0.U_11.switch,80.04µm
_1936_,79.72µm
_1870_,79.62µm
clknet_leaf_18_clk,79.6µm
_1803_,79.48µm
systolic_unit_0.U_00.out_b\[3\],79.4µm
systolic_unit_0.U_01.acc_1\[6\],79.22µm
net215,79.015µm
net217,78.8µm
net250,77.82µm
net190,77.74µm
_1391_,77.4µm
_1899_,77.24µm
net144,76.96µm
systolic_unit_0.U_01.in_b\[4\],76.79µm
net80,76.72µm
net6,76.34µm
_0563_,76.2µm
net223,75.92µm
_0781_,75.42µm
net244,75.2µm
systolic_unit_0.U_01.in_b\[6\],74.8µm
net194,74.295µm
net5,74.24µm
systolic_unit_0.U_01.acc_1\[10\],74.02µm
_1615_,73.72µm
systolic_unit_0.U_01.acc_1\[8\],73.18µm
_1798_,72.31µm
net414,72.28µm
_1955_,72.14µm
switch_r1,72.04µm
net118,72.02µm
_1884_,71.78µm
systolic_unit_0.U_01.acc_0\[13\],71.52µm
net145,70.325µm
clknet_leaf_28_clk,70.24µm
net165,70.12µm
_1883_,70.02µm
net107,69.92µm
net257,69.42µm
_1910_,68.88µm
net265,68.61µm
systolic_unit_0.U_00.acc_0\[4\],68.6µm
systolic_unit_0.U_10.out_a\[4\],68.4µm
net170,67.81µm
net131,67.38µm
systolic_unit_0.U_01.acc_0\[8\],67.32µm
net410,67.205µm
systolic_unit_0.U_01.acc_1\[4\],67.2µm
systolic_unit_0.U_01.in_b\[0\],66.44µm
net229,66.28µm
systolic_unit_0.U_00.acc_0\[1\],66.26µm
net238,65.94µm
_0560_,65.64µm
systolic_unit_0.U_10.acc_1\[4\],65.3µm
_0566_,65.275µm
clknet_leaf_27_clk,65.26µm
net106,64.92µm
net209,64.83µm
_1913_,64.8µm
net249,64.64µm
_1894_,63.44µm
_1893_,63.28µm
drain_odd,62.95µm
_1871_,62.84µm
net156,62.5µm
net203,62.215µm
_1379_,62.18µm
systolic_unit_0.U_10.in_a\[7\],61.86µm
net22,61.58µm
net255,61.385µm
systolic_unit_0.U_01.acc_1\[13\],61.3µm
_1808_,61.28µm
net7,61.18µm
_1950_,61µm
systolic_unit_0.U_10.in_a\[2\],60.94µm
_0913_,60.72µm
systolic_unit_0.U_00.acc_0\[2\],60.44µm
systolic_unit_0.U_00.acc_1\[1\],60.42µm
_0567_,60.16µm
_0846_,60.08µm
_0926_,60.04µm
_0961_,60.02µm
net110,59.66µm
clknet_leaf_31_clk,59.42µm
net123,59.26µm
_1040_,58.62µm
_1795_,58.36µm
systolic_unit_0.U_00.acc_1\[9\],58.16µm
clknet_leaf_6_clk,58.1µm
clknet_leaf_22_clk,57.94µm
systolic_unit_0.U_01.in_b\[7\],57.76µm
net188,57.56µm
_1079_,57.54µm
_1433_,57.52µm
_1879_,57.48µm
_0670_,57.36µm
_1787_,57.24µm
clknet_leaf_8_clk,56.86µm
_0960_,56.58µm
clknet_leaf_9_clk,56.52µm
systolic_unit_0.U_01.acc_1\[12\],56.42µm
_0573_,56.36µm
_0825_,56.14µm
systolic_unit_0.U_00.acc_0\[9\],55.98µm
_1578_,55.58µm
systolic_unit_0.U_10.in_a\[3\],55.28µm
net197,55.175µm
_1902_,54.78µm
net113,54.78µm
_1869_,54.48µm
net153,54.46µm
clknet_leaf_7_clk,54.42µm
_1096_,54.36µm
_1800_,54.02µm
_1867_,53.96µm
_0602_,53.7µm
_1900_,53.64µm
systolic_unit_0.U_01.acc_0\[12\],52.76µm
_0581_,52.6µm
net142,52.41µm
clknet_leaf_0_clk,52.14µm
systolic_unit_0.U_01.acc_1\[3\],52.02µm
net172,51.66µm
clknet_leaf_10_clk,51.62µm
_0477_,51.5µm
_1076_,51.44µm
_1448_,51.42µm
_0642_,51.08µm
net201,50.78µm
_0488_,50.58µm
systolic_unit_0.U_10.acc_0\[4\],50.55µm
_0963_,50.16µm
_0538_,50.1µm
_1813_,49.94µm
net321,49.44µm
_1872_,49.26µm
_1892_,49.2µm
_0614_,49.16µm
systolic_unit_0.U_10.acc_1\[7\],48.68µm
systolic_unit_0.U_10.in_a\[6\],48.66µm
clknet_leaf_29_clk,48.2µm
clknet_leaf_2_clk,48.16µm
_1212_,48.12µm
systolic_unit_0.U_01.acc_0\[15\],47.94µm
_0894_,47.43µm
_1204_,47.43µm
_1366_,47.3µm
clknet_leaf_4_clk,46.96µm
_2088_,46.84µm
_1891_,46.66µm
net320,46.56µm
_0519_,46.5µm
net24,46.38µm
net174,46.085µm
net390,46µm
_2111_,45.66µm
systolic_unit_0.U_01.acc_0\[3\],45.06µm
systolic_unit_0.U_10.acc_0\[7\],44.92µm
_1395_,44.34µm
systolic_unit_0.U_10.in_a\[0\],44µm
net112,43.96µm
systolic_unit_0.U_01.acc_0\[9\],43.84µm
_1121_,43.46µm
systolic_unit_0.U_01.acc_1\[5\],43.3µm
_1446_,43.2µm
systolic_unit_0.U_01.acc_0\[0\],43.16µm
_2021_,42.88µm
_1049_,42.74µm
systolic_unit_0.U_01.acc_1\[0\],42.68µm
_0874_,42.24µm
net179,42.24µm
net323,42.06µm
net157,42.015µm
_1850_,41.35µm
_1146_,41.24µm
systolic_unit_0.U_01.out_b\[0\],40.9µm
clknet_leaf_20_clk,40.78µm
systolic_unit_0.U_00.out_a\[1\],40.74µm
_2019_,40.35µm
_0684_,40.24µm
_1644_,40.06µm
_1874_,39.9µm
_1252_,39.7µm
clknet_leaf_14_clk,39.7µm
_1502_,39.46µm
net391,39.22µm
systolic_unit_0.U_00.acc_1\[13\],39.12µm
systolic_unit_0.U_10.in_a\[4\],38.86µm
_0974_,38.815µm
_1789_,38.7µm
_1885_,38.68µm
systolic_unit_0.U_00.out_a\[5\],38.46µm
_1373_,38.4µm
_1368_,38.34µm
_1101_,38.32µm
_1143_,37.98µm
_0780_,37.7µm
_1792_,37.66µm
_1474_,37.54µm
_0457_,37.32µm
clknet_leaf_30_clk,37.1µm
net392,37.085µm
_0575_,36.81µm
_0953_,36.76µm
systolic_unit_0.U_01.acc_0\[5\],36.6µm
_1785_,36.57µm
systolic_unit_0.U_10.in_a\[1\],36.52µm
net184,36.34µm
_0512_,36.155µm
_0716_,35.9µm
_1095_,35.86µm
_1533_,35.8µm
_1370_,35.72µm
_0955_,35.56µm
_0965_,35.42µm
systolic_unit_0.U_01.out_b\[2\],35.38µm
_1706_,35.355µm
_1360_,35.28µm
net416,35.18µm
_1535_,35.14µm
systolic_unit_0.U_10.acc_1\[2\],35.14µm
_1308_,35.04µm
_1788_,34.82µm
_0465_,34.66µm
_0808_,34.58µm
net313,34.56µm
_1658_,34.52µm
systolic_unit_0.U_00.out_b\[1\],34.34µm
_0663_,34.16µm
row_count\[0\],34.06µm
systolic_unit_0.U_01.acc_0\[1\],33.82µm
net61,33.6µm
_0577_,33.56µm
_0591_,33.32µm
_0774_,33.24µm
_1182_,33.2µm
_0733_,33.16µm
_1748_,33.04µm
_0942_,33.01µm
_0584_,32.96µm
systolic_unit_0.U_10.acc_1\[3\],32.86µm
_0668_,32.62µm
net318,32.56µm
_0964_,32.5µm
_0580_,32.28µm
_0976_,32µm
_1342_,31.96µm
_1805_,31.88µm
_2043_,31.82µm
net316,31.68µm
_1776_,31.58µm
_1176_,31.38µm
net326,31.32µm
net378,31.225µm
_1243_,31.07µm
_1321_,30.74µm
net43,30.66µm
systolic_unit_0.U_11.acc_0\[8\],30.58µm
systolic_unit_0.U_01.acc_1\[15\],30.46µm
_1609_,30.455µm
_1329_,30.39µm
_1438_,30.28µm
_2108_,30.1µm
_1750_,30.06µm
systolic_unit_0.U_01.acc_1\[1\],30.04µm
systolic_unit_0.U_01.acc_1\[9\],30.04µm
_1082_,29.8µm
_1159_,29.74µm
net26,29.58µm
_2027_,29.5µm
net192,29.5µm
clknet_leaf_21_clk,29.49µm
systolic_unit_0.U_00.acc_0\[0\],29.46µm
_1821_,29.34µm
_1552_,29.22µm
_0978_,28.98µm
_1673_,28.95µm
_0918_,28.92µm
_0956_,28.86µm
systolic_unit_0.U_01.acc_0\[7\],28.86µm
_1359_,28.82µm
_0928_,28.56µm
_1382_,28.48µm
_0761_,28.4µm
_0679_,28.36µm
_1190_,28.34µm
_1254_,28.34µm
_2093_,28.285µm
systolic_unit_0.U_10.acc_0\[2\],28.28µm
_1816_,28.2µm
row_count\[1\],28.19µm
_1753_,28.1µm
_2099_,28.08µm
_1866_,28.06µm
net409,27.94µm
_0731_,27.82µm
_1512_,27.82µm
systolic_unit_0.U_00.acc_0\[13\],27.78µm
_0772_,27.725µm
_0743_,27.7µm
_1274_,27.7µm
row_count\[2\],27.6µm
systolic_unit_0.U_01.acc_0\[2\],27.58µm
systolic_unit_0.U_11.acc_1\[8\],27.48µm
_0695_,27.46µm
_0534_,27.44µm
_0771_,27.34µm
_2013_,27.24µm
systolic_unit_0.U_10.out_a\[3\],27.18µm
_0607_,27.16µm
_0592_,27.13µm
_1290_,27.04µm
_2037_,27.02µm
_1634_,26.94µm
_0661_,26.915µm
_0624_,26.82µm
_1262_,26.76µm
_2101_,26.64µm
_1374_,26.6µm
_1532_,26.55µm
_1695_,26.54µm
_1268_,26.49µm
systolic_unit_0.U_11.acc_1\[4\],26.37µm
_0651_,26.335µm
net25,26.3µm
_0429_,26.22µm
_1112_,25.94µm
_1630_,25.92µm
_1386_,25.9µm
_1653_,25.68µm
_0637_,25.48µm
_0737_,25.48µm
_0432_,25.44µm
_1848_,25.44µm
systolic_unit_0.U_00.acc_0\[11\],25.44µm
net64,25.44µm
_0361_,25.425µm
clknet_leaf_13_clk,25.34µm
_1483_,25.3µm
systolic_unit_0.U_10.out_a\[0\],25.3µm
_0933_,25.26µm
net432,25.22µm
_0821_,25.1µm
systolic_unit_0.U_00.acc_1\[6\],24.88µm
_1774_,24.86µm
_0736_,24.8µm
_1194_,24.56µm
_1042_,24.54µm
_1828_,24.54µm
systolic_unit_0.U_11.acc_0\[6\],24.48µm
_2071_,24.44µm
_0669_,24.42µm
_1140_,24.42µm
systolic_unit_0.U_11.acc_1\[6\],24.36µm
_1783_,24.34µm
_1473_,24.32µm
net38,24.3µm
_1612_,24.205µm
_1451_,24.06µm
systolic_unit_0.U_11.acc_1\[0\],24.02µm
net317,23.94µm
net374,23.94µm
_1811_,23.92µm
_1472_,23.91µm
net308,23.88µm
systolic_unit_0.U_00.acc_0\[15\],23.84µm
net39,23.64µm
_1115_,23.5µm
_0554_,23.42µm
_1470_,23.42µm
_0493_,23.34µm
_1383_,23.26µm
systolic_unit_0.U_11.acc_1\[10\],23.18µm
_0844_,23.12µm
_0693_,23µm
_1139_,22.98µm
net395,22.86µm
net359,22.84µm
_1831_,22.82µm
_1206_,22.76µm
_1628_,22.74µm
systolic_unit_0.U_00.acc_0\[14\],22.66µm
_1876_,22.5µm
systolic_unit_0.U_01.in_b\[5\],22.46µm
_0616_,22.42µm
_1591_,22.32µm
systolic_unit_0.U_11.acc_0\[5\],22.15µm
_1688_,22.14µm
net304,22.06µm
_1217_,21.94µm
_1292_,21.9µm
_1940_,21.84µm
_1110_,21.82µm
_1632_,21.82µm
systolic_unit_0.out_acc_1_r1\[6\],21.76µm
_2057_,21.74µm
_1598_,21.72µm
_0686_,21.715µm
_1819_,21.64µm
_2006_,21.64µm
_1337_,21.62µm
_1267_,21.58µm
_1889_,21.5µm
_2038_,21.5µm
_1346_,21.44µm
_2110_,21.42µm
_1759_,21.38µm
systolic_unit_0.U_00.acc_1\[11\],21.38µm
systolic_unit_0.U_11.acc_0\[10\],21.36µm
systolic_unit_0.U_00.acc_1\[15\],21.26µm
net328,21.2µm
_1572_,21.14µm
_1355_,21.12µm
_1570_,21.12µm
systolic_unit_0.U_11.acc_0\[3\],21.12µm
systolic_unit_0.U_11.acc_1\[5\],21.12µm
_1877_,21.1µm
_2053_,21.1µm
_1901_,21.02µm
systolic_unit_0.U_11.acc_0\[2\],21µm
_0499_,20.92µm
_1697_,20.92µm
_0704_,20.82µm
_1453_,20.82µm
systolic_unit_0.U_00.acc_1\[10\],20.78µm
_1362_,20.74µm
systolic_unit_0.U_11.acc_1\[15\],20.74µm
_1263_,20.7µm
_1070_,20.58µm
_1878_,20.56µm
_1714_,20.54µm
_0503_,20.5µm
_1560_,20.46µm
_2070_,20.42µm
_1221_,20.4µm
_2065_,20.32µm
systolic_unit_0.U_11.acc_0\[7\],20.26µm
_0436_,20.2µm
_1004_,20.2µm
_1261_,20.2µm
_0452_,20.18µm
_1277_,20.12µm
_1732_,20.08µm
net309,20.02µm
_0531_,20.015µm
_1174_,19.9µm
_1911_,19.88µm
_1173_,19.86µm
_0710_,19.78µm
systolic_unit_0.U_01.acc_1\[14\],19.78µm
_0440_,19.72µm
_0792_,19.66µm
_1196_,19.62µm
_1404_,19.62µm
systolic_unit_0.U_01.in_b\[3\],19.62µm
_1322_,19.56µm
_0882_,19.52µm
systolic_unit_0.U_10.acc_1\[1\],19.5µm
_1118_,19.44µm
_0437_,19.425µm
_0728_,19.4µm
_0972_,19.4µm
net21,19.4µm
_0578_,19.38µm
systolic_unit_0.U_11.acc_0\[1\],19.365µm
_0640_,19.36µm
_0967_,19.36µm
_2095_,19.36µm
_0794_,19.28µm
_2036_,19.28µm
_1047_,19.26µm
_2059_,19.24µm
_1970_,19.2µm
_2058_,19.16µm
_0715_,19.14µm
_2064_,19.12µm
systolic_unit_0.U_10.acc_0\[10\],19.1µm
net367,19.085µm
_2129_,19.08µm
_0475_,19.04µm
_0552_,19µm
_1439_,19µm
_1235_,18.9µm
_1468_,18.9µm
_2091_,18.8µm
_0775_,18.565µm
_0438_,18.5µm
_1938_,18.48µm
_1156_,18.46µm
_0966_,18.44µm
_2069_,18.39µm
_0721_,18.38µm
_0516_,18.36µm
_1398_,18.36µm
_0656_,18.34µm
_1530_,18.34µm
_1352_,18.32µm
_1770_,18.32µm
systolic_unit_0.U_11.acc_0\[13\],18.28µm
_0658_,18.26µm
_1516_,18.24µm
_2015_,18.24µm
_1017_,18.22µm
systolic_unit_0.U_10.acc_0\[3\],18.22µm
systolic_unit_0.U_10.acc_0\[9\],18.2µm
_0473_,18.19µm
_1001_,18.18µm
_2102_,18.18µm
systolic_unit_0.U_01.acc_1\[7\],18.16µm
_0590_,18.14µm
_1081_,18.14µm
_0951_,18.11µm
_1312_,18.1µm
_1264_,18.075µm
_1611_,18.02µm
_1406_,18µm
_1339_,17.98µm
_0912_,17.94µm
systolic_unit_0.U_10.acc_0\[13\],17.9µm
_1158_,17.88µm
systolic_unit_0.U_00.acc_0\[3\],17.78µm
_1089_,17.76µm
_0754_,17.74µm
_0720_,17.7µm
_1051_,17.7µm
_1582_,17.7µm
systolic_unit_0.U_01.acc_1\[2\],17.64µm
D_c_flat[26],17.55µm
_0696_,17.54µm
_1090_,17.5µm
_1177_,17.48µm
_0287_,17.42µm
_0641_,17.42µm
net44,17.42µm
_0453_,17.4µm
_1686_,17.4µm
systolic_unit_0.U_01.acc_0\[11\],17.4µm
net293,17.4µm
_1161_,17.36µm
_1720_,17.36µm
systolic_unit_0.U_10.acc_1\[11\],17.36µm
_1119_,17.3µm
_1641_,17.3µm
systolic_unit_0.U_11.acc_1\[7\],17.3µm
_0376_,17.22µm
_1437_,17.18µm
_1700_,17.18µm
systolic_unit_0.U_10.acc_1\[5\],17.18µm
_1239_,17.14µm
_1424_,17.14µm
net8,17.14µm
_2011_,17.1µm
_1510_,17.08µm
_1142_,17.06µm
systolic_unit_0.U_01.acc_0\[14\],17.02µm
_0722_,16.96µm
_0681_,16.94µm
systolic_unit_0.U_11.acc_0\[14\],16.94µm
_1704_,16.9µm
_1716_,16.88µm
_0540_,16.86µm
_1763_,16.855µm
_0635_,16.84µm
_0461_,16.8µm
_1737_,16.76µm
_0742_,16.72µm
_1966_,16.72µm
systolic_unit_0.U_00.acc_1\[4\],16.72µm
systolic_unit_0.U_10.acc_0\[0\],16.72µm
_1454_,16.7µm
_1296_,16.68µm
_0456_,16.66µm
_0458_,16.66µm
_0626_,16.66µm
_0606_,16.64µm
_2029_,16.64µm
_0776_,16.62µm
_0497_,16.6µm
_0653_,16.6µm
_1607_,16.6µm
_1852_,16.6µm
_1265_,16.54µm
_1024_,16.52µm
_1631_,16.52µm
_2092_,16.52µm
_0345_,16.5µm
_1703_,16.48µm
_0442_,16.44µm
systolic_unit_0.U_10.acc_0\[5\],16.42µm
net65,16.4µm
systolic_unit_0.U_00.acc_0\[12\],16.38µm
_1325_,16.36µm
_0594_,16.32µm
_1517_,16.3µm
systolic_unit_0.U_10.acc_1\[8\],16.26µm
net33,16.22µm
_1963_,16.2µm
_0583_,16.18µm
_0818_,16.18µm
_1543_,16.18µm
_1650_,16.18µm
_1216_,16.16µm
_1923_,16.16µm
_2100_,16.16µm
D_c_flat[24],16.11µm
systolic_unit_0.U_10.acc_0\[15\],16.1µm
_1287_,16.08µm
_0801_,16.06µm
systolic_unit_0.U_11.acc_1\[13\],16.04µm
_0770_,16.02µm
systolic_unit_0.U_00.acc_1\[3\],16.02µm
systolic_unit_0.U_11.acc_1\[3\],15.94µm
_1270_,15.86µm
matrix_count\[0\],15.84µm
_0421_,15.78µm
_1934_,15.78µm
net34,15.76µm
_1237_,15.74µm
_0767_,15.72µm
_1153_,15.72µm
_1058_,15.7µm
_1328_,15.7µm
matrix_count\[2\],15.7µm
_1137_,15.68µm
_1461_,15.68µm
_1005_,15.64µm
_1671_,15.64µm
_2012_,15.64µm
_2066_,15.62µm
_1605_,15.6µm
_1701_,15.6µm
_0843_,15.585µm
systolic_unit_0.U_10.acc_1\[12\],15.58µm
_0932_,15.52µm
_1723_,15.52µm
net312,15.5µm
_1733_,15.48µm
_0639_,15.44µm
_0905_,15.44µm
_1381_,15.42µm
_0763_,15.4µm
_2103_,15.32µm
_0739_,15.31µm
_0351_,15.3µm
systolic_unit_0.U_11.acc_0\[11\],15.3µm
_0633_,15.28µm
_1423_,15.26µm
_1136_,15.2µm
_1191_,15.19µm
_1929_,15.18µm
systolic_unit_0.U_11.acc_0\[15\],15.18µm
_2076_,15.16µm
net71,15.16µm
_0352_,15.12µm
_1023_,15.1µm
_1097_,15.1µm
_1768_,15.08µm
_1912_,15.08µm
_0806_,15.06µm
