Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_553,VGND,li1,260.1300,266.5600,0.000006
FILLER_93_545,VGND,li1,258.0600,266.5600,0.000006
FILLER_93_533,VGND,li1,253.4600,266.5600,0.000006
FILLER_93_529,VGND,li1,249.5500,266.5600,0.000006
FILLER_93_517,VGND,li1,246.1000,266.5600,0.000006
FILLER_93_505,VGND,li1,240.5800,266.5600,0.000006
FILLER_93_501,VGND,li1,236.6700,266.5600,0.000006
FILLER_93_489,VGND,li1,233.2200,266.5600,0.000006
FILLER_93_477,VGND,li1,227.7000,266.5600,0.000006
FILLER_93_473,VGND,li1,223.7900,266.5600,0.000006
FILLER_93_461,VGND,li1,220.3400,266.5600,0.000006
FILLER_93_449,VGND,li1,214.8200,266.5600,0.000006
FILLER_93_445,VGND,li1,210.9100,266.5600,0.000006
FILLER_93_433,VGND,li1,207.4600,266.5600,0.000006
FILLER_93_421,VGND,li1,201.9400,266.5600,0.000006
FILLER_93_417,VGND,li1,198.0300,266.5600,0.000006
FILLER_93_405,VGND,li1,194.5800,266.5600,0.000006
FILLER_93_393,VGND,li1,189.0600,266.5600,0.000006
FILLER_93_391,VGND,li1,185.6100,266.5600,0.000006
FILLER_93_385,VGND,li1,183.3100,266.5600,0.000006
FILLER_93_377,VGND,li1,180.7800,266.5600,0.000006
FILLER_93_365,VGND,li1,176.1800,266.5600,0.000008
FILLER_93_363,VGND,li1,172.7300,266.5600,0.000010
FILLER_93_355,VGND,li1,170.6600,266.5600,0.000011
FILLER_93_343,VGND,li1,166.0600,266.5600,0.000014
FILLER_93_337,VGND,li1,161.0000,266.5600,0.000017
FILLER_93_335,VGND,li1,159.8500,266.5600,0.000017
FILLER_93_328,VGND,li1,157.3200,266.5600,0.000018
FILLER_93_321,VGND,li1,154.1000,266.5600,0.000019
FILLER_93_309,VGND,li1,150.4200,266.5600,0.000020
FILLER_93_307,VGND,li1,146.9700,266.5600,0.000022
FILLER_93_301,VGND,li1,145.3600,266.5600,0.000022
FILLER_93_295,VGND,li1,141.6800,266.5600,0.000023
FILLER_93_287,VGND,li1,139.3800,266.5600,0.000023
FILLER_93_281,VGND,li1,135.2400,266.5600,0.000023
FILLER_93_277,VGND,li1,133.6300,266.5600,0.000023
FILLER_93_265,VGND,li1,130.1800,266.5600,0.000023
FILLER_93_253,VGND,li1,124.6600,266.5600,0.000023
FILLER_93_251,VGND,li1,121.2100,266.5600,0.000022
FILLER_93_244,VGND,li1,118.6800,266.5600,0.000022
FILLER_93_237,VGND,li1,115.4600,266.5600,0.000021
FILLER_93_230,VGND,li1,112.2400,266.5600,0.000021
FILLER_93_225,VGND,li1,109.4800,266.5600,0.000020
FILLER_93_223,VGND,li1,108.3300,266.5600,0.000020
FILLER_93_217,VGND,li1,106.0300,266.5600,0.000020
FILLER_93_209,VGND,li1,103.5000,266.5600,0.000020
FILLER_93_205,VGND,li1,100.0500,266.5600,0.000019
FILLER_93_197,VGND,li1,97.9800,266.5600,0.000018
FILLER_93_193,VGND,li1,94.9900,266.5600,0.000018
FILLER_93_181,VGND,li1,91.5400,266.5600,0.000017
FILLER_93_169,VGND,li1,86.0200,266.5600,0.000016
FILLER_93_165,VGND,li1,82.1100,266.5600,0.000015
FILLER_93_153,VGND,li1,78.6600,266.5600,0.000014
FILLER_93_141,VGND,li1,73.1400,266.5600,0.000013
FILLER_93_137,VGND,li1,69.2300,266.5600,0.000012
FILLER_93_125,VGND,li1,65.7800,266.5600,0.000011
FILLER_93_113,VGND,li1,60.2600,266.5600,0.000010
FILLER_93_109,VGND,li1,56.3500,266.5600,0.000009
FILLER_93_97,VGND,li1,52.9000,266.5600,0.000008
FILLER_93_85,VGND,li1,47.3800,266.5600,0.000007
FILLER_93_81,VGND,li1,43.4700,266.5600,0.000006
FILLER_93_69,VGND,li1,40.0200,266.5600,0.000006
FILLER_93_57,VGND,li1,34.5000,266.5600,0.000004
FILLER_93_53,VGND,li1,30.5900,266.5600,0.000003
FILLER_93_41,VGND,li1,27.1400,266.5600,0.000003
FILLER_93_29,VGND,li1,21.6200,266.5600,0.000002
FILLER_93_27,VGND,li1,18.1700,266.5600,0.000002
FILLER_93_15,VGND,li1,15.1800,266.5600,0.000002
FILLER_93_3,VGND,li1,9.6600,266.5600,0.000002
FILLER_92_553,VGND,li1,260.1300,261.1200,0.000063
FILLER_92_545,VGND,li1,258.0600,261.1200,0.000063
FILLER_92_533,VGND,li1,253.4600,261.1200,0.000063
FILLER_92_531,VGND,li1,250.0100,261.1200,0.000063
FILLER_92_525,VGND,li1,248.4000,261.1200,0.000063
