Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_553,VPWR,li1,260.1300,263.8400,1.799989
FILLER_93_545,VPWR,li1,258.0600,263.8400,1.799989
FILLER_93_533,VPWR,li1,253.4600,263.8400,1.799989
FILLER_93_529,VPWR,li1,249.5500,263.8400,1.799989
FILLER_93_517,VPWR,li1,246.1000,263.8400,1.799989
FILLER_93_505,VPWR,li1,240.5800,263.8400,1.799989
FILLER_93_501,VPWR,li1,236.6700,263.8400,1.799989
FILLER_93_489,VPWR,li1,233.2200,263.8400,1.799989
FILLER_93_477,VPWR,li1,227.7000,263.8400,1.799989
FILLER_93_473,VPWR,li1,223.7900,263.8400,1.799989
FILLER_93_461,VPWR,li1,220.3400,263.8400,1.799989
FILLER_93_449,VPWR,li1,214.8200,263.8400,1.799989
FILLER_93_445,VPWR,li1,210.9100,263.8400,1.799989
FILLER_93_433,VPWR,li1,207.4600,263.8400,1.799989
FILLER_93_421,VPWR,li1,201.9400,263.8400,1.799989
FILLER_93_417,VPWR,li1,198.0300,263.8400,1.799989
FILLER_93_405,VPWR,li1,194.5800,263.8400,1.799989
FILLER_93_393,VPWR,li1,189.0600,263.8400,1.799989
FILLER_93_391,VPWR,li1,185.6100,263.8400,1.799990
FILLER_93_385,VPWR,li1,183.3100,263.8400,1.799990
FILLER_93_377,VPWR,li1,180.7800,263.8400,1.799990
FILLER_93_365,VPWR,li1,176.1800,263.8400,1.799990
FILLER_93_363,VPWR,li1,172.7300,263.8400,1.799988
FILLER_93_355,VPWR,li1,170.6600,263.8400,1.799985
FILLER_93_343,VPWR,li1,166.0600,263.8400,1.799981
FILLER_93_337,VPWR,li1,161.0000,263.8400,1.799979
FILLER_93_335,VPWR,li1,159.8500,263.8400,1.799978
FILLER_93_328,VPWR,li1,157.3200,263.8400,1.799977
FILLER_93_321,VPWR,li1,154.1000,263.8400,1.799976
FILLER_93_309,VPWR,li1,150.4200,263.8400,1.799975
FILLER_93_307,VPWR,li1,146.9700,263.8400,1.799974
FILLER_93_301,VPWR,li1,145.3600,263.8400,1.799974
FILLER_93_295,VPWR,li1,141.6800,263.8400,1.799972
FILLER_93_287,VPWR,li1,139.3800,263.8400,1.799972
FILLER_93_281,VPWR,li1,135.2400,263.8400,1.799972
FILLER_93_277,VPWR,li1,133.6300,263.8400,1.799972
FILLER_93_265,VPWR,li1,130.1800,263.8400,1.799972
FILLER_93_253,VPWR,li1,124.6600,263.8400,1.799973
FILLER_93_251,VPWR,li1,121.2100,263.8400,1.799974
FILLER_93_244,VPWR,li1,118.6800,263.8400,1.799974
FILLER_93_237,VPWR,li1,115.4600,263.8400,1.799975
FILLER_93_230,VPWR,li1,112.2400,263.8400,1.799975
FILLER_93_225,VPWR,li1,109.4800,263.8400,1.799976
FILLER_93_223,VPWR,li1,108.3300,263.8400,1.799976
FILLER_93_217,VPWR,li1,106.0300,263.8400,1.799976
FILLER_93_209,VPWR,li1,103.5000,263.8400,1.799977
FILLER_93_205,VPWR,li1,100.0500,263.8400,1.799978
FILLER_93_197,VPWR,li1,97.9800,263.8400,1.799978
FILLER_93_193,VPWR,li1,94.9900,263.8400,1.799979
FILLER_93_181,VPWR,li1,91.5400,263.8400,1.799980
FILLER_93_169,VPWR,li1,86.0200,263.8400,1.799981
FILLER_93_165,VPWR,li1,82.1100,263.8400,1.799982
FILLER_93_153,VPWR,li1,78.6600,263.8400,1.799983
FILLER_93_141,VPWR,li1,73.1400,263.8400,1.799984
FILLER_93_137,VPWR,li1,69.2300,263.8400,1.799986
FILLER_93_125,VPWR,li1,65.7800,263.8400,1.799986
FILLER_93_113,VPWR,li1,60.2600,263.8400,1.799988
FILLER_93_109,VPWR,li1,56.3500,263.8400,1.799989
FILLER_93_97,VPWR,li1,52.9000,263.8400,1.799990
FILLER_93_85,VPWR,li1,47.3800,263.8400,1.799991
FILLER_93_81,VPWR,li1,43.4700,263.8400,1.799992
FILLER_93_69,VPWR,li1,40.0200,263.8400,1.799993
FILLER_93_57,VPWR,li1,34.5000,263.8400,1.799994
FILLER_93_53,VPWR,li1,30.5900,263.8400,1.799995
FILLER_93_41,VPWR,li1,27.1400,263.8400,1.799996
FILLER_93_29,VPWR,li1,21.6200,263.8400,1.799997
FILLER_93_27,VPWR,li1,18.1700,263.8400,1.799997
FILLER_93_15,VPWR,li1,15.1800,263.8400,1.799997
FILLER_93_3,VPWR,li1,9.6600,263.8400,1.799997
FILLER_92_553,VPWR,li1,260.1300,263.8400,1.799989
FILLER_92_545,VPWR,li1,258.0600,263.8400,1.799989
FILLER_92_533,VPWR,li1,253.4600,263.8400,1.799989
FILLER_92_531,VPWR,li1,250.0100,263.8400,1.799989
FILLER_92_525,VPWR,li1,248.4000,263.8400,1.799989
FILLER_92_513,VPWR,li1,244.2600,263.8400,1.799989
FILLER_92_501,VPWR,li1,238.7400,263.8400,1.799989
FILLER_92_489,VPWR,li1,233.2200,263.8400,1.799989
FILLER_92_477,VPWR,li1,227.7000,263.8400,1.799989
FILLER_92_475,VPWR,li1,224.2500,263.8400,1.799989
FILLER_92_469,VPWR,li1,222.6400,263.8400,1.799989
FILLER_92_457,VPWR,li1,218.5000,263.8400,1.799989
FILLER_92_445,VPWR,li1,212.9800,263.8400,1.799989
FILLER_92_433,VPWR,li1,207.4600,263.8400,1.799989
FILLER_92_421,VPWR,li1,201.9400,263.8400,1.799989
FILLER_92_419,VPWR,li1,198.4900,263.8400,1.799989
FILLER_92_401,VPWR,li1,191.8200,263.8400,1.799989
FILLER_92_389,VPWR,li1,187.2200,263.8400,1.799990
FILLER_92_377,VPWR,li1,181.7000,263.8400,1.799990
FILLER_92_365,VPWR,li1,176.1800,263.8400,1.799990
FILLER_92_362,VPWR,li1,172.5000,263.8400,1.799988
FILLER_92_350,VPWR,li1,169.2800,263.8400,1.799985
FILLER_92_341,VPWR,li1,162.8400,263.8400,1.799980
FILLER_92_333,VPWR,li1,160.5400,263.8400,1.799978
FILLER_92_321,VPWR,li1,155.9400,263.8400,1.799977
FILLER_92_309,VPWR,li1,150.4200,263.8400,1.799975
FILLER_92_306,VPWR,li1,146.7400,263.8400,1.799974
FILLER_92_294,VPWR,li1,143.5200,263.8400,1.799973
FILLER_92_282,VPWR,li1,138.0000,263.8400,1.799972
FILLER_92_270,VPWR,li1,132.4800,263.8400,1.799972
FILLER_92_258,VPWR,li1,126.9600,263.8400,1.799973
